,secID,ticker,secShortName,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,navChg,navChgPct,adjNavChgPct,partyID,partyShortName
0,510050.XSHG,510050,华夏上证50ETF,2015-01-05,2.611,2015-01-06,3.436,CNY,3.7366,0.065,2.553,2.5524,26812,华夏基金
1,510050.XSHG,510050,华夏上证50ETF,2015-01-06,2.589,2015-01-07,3.409,CNY,3.7051,-0.022,-0.8426,-0.8431,26812,华夏基金
2,510050.XSHG,510050,华夏上证50ETF,2015-01-07,2.59,2015-01-08,3.411,CNY,3.7065,0.001,0.0386,0.0377,26812,华夏基金
3,510050.XSHG,510050,华夏上证50ETF,2015-01-08,2.513,2015-01-09,3.319,CNY,3.5964,-0.077,-2.973,-2.9705,26812,华夏基金
4,510050.XSHG,510050,华夏上证50ETF,2015-01-09,2.522,2015-01-10,3.33,CNY,3.6092,0.009,0.3581,0.3559,26812,华夏基金
5,510050.XSHG,510050,华夏上证50ETF,2015-01-12,2.501,2015-01-13,3.305,CNY,3.5792,-0.021,-0.8327,-0.8313,26812,华夏基金
6,510050.XSHG,510050,华夏上证50ETF,2015-01-13,2.486,2015-01-14,3.288,CNY,3.5577,-0.015,-0.5998,-0.6007,26812,华夏基金
7,510050.XSHG,510050,华夏上证50ETF,2015-01-14,2.492,2015-01-15,3.295,CNY,3.5663,0.006,0.2414,0.2417,26812,华夏基金
8,510050.XSHG,510050,华夏上证50ETF,2015-01-15,2.586,2015-01-16,3.406,CNY,3.7008,0.094,3.7721,3.7714,26812,华夏基金
9,510050.XSHG,510050,华夏上证50ETF,2015-01-16,2.604,2015-01-17,3.427,CNY,3.7266,0.018,0.6961,0.6971,26812,华夏基金
10,510050.XSHG,510050,华夏上证50ETF,2015-01-19,2.37,2015-01-20,3.15,CNY,3.3917,-0.234,-8.9862,-8.9868,26812,华夏基金
11,510050.XSHG,510050,华夏上证50ETF,2015-01-20,2.365,2015-01-21,3.144,CNY,3.3845,-0.005,-0.211,-0.2123,26812,华夏基金
12,510050.XSHG,510050,华夏上证50ETF,2015-01-21,2.5,2015-01-22,3.304,CNY,3.5777,0.135,5.7082,5.7083,26812,华夏基金
13,510050.XSHG,510050,华夏上证50ETF,2015-01-22,2.504,2015-01-23,3.309,CNY,3.5835,0.004,0.16,0.1621,26812,华夏基金
14,510050.XSHG,510050,华夏上证50ETF,2015-01-23,2.523,2015-01-24,3.331,CNY,3.6107,0.019,0.7588,0.759,26812,华夏基金
15,510050.XSHG,510050,华夏上证50ETF,2015-01-26,2.521,2015-01-27,3.329,CNY,3.6078,-0.002,-0.0793,-0.0804,26812,华夏基金
16,510050.XSHG,510050,华夏上证50ETF,2015-01-27,2.483,2015-01-28,3.284,CNY,3.5534,-0.038,-1.5073,-1.5079,26812,华夏基金
17,510050.XSHG,510050,华夏上证50ETF,2015-01-28,2.446,2015-01-29,3.24,CNY,3.5005,-0.037,-1.4901,-1.4888,26812,华夏基金
18,510050.XSHG,510050,华夏上证50ETF,2015-01-29,2.402,2015-01-30,3.188,CNY,3.4375,-0.044,-1.7989,-1.7998,26812,华夏基金
19,510050.XSHG,510050,华夏上证50ETF,2015-01-30,2.367,2015-01-31,3.147,CNY,3.3874,-0.035,-1.4571,-1.4575,26812,华夏基金
20,510050.XSHG,510050,华夏上证50ETF,2015-02-02,2.299,2015-02-03,3.066,CNY,3.2901,-0.068,-2.8728,-2.8725,26812,华夏基金
21,510050.XSHG,510050,华夏上证50ETF,2015-02-03,2.369,2015-02-04,3.149,CNY,3.3903,0.07,3.0448,3.0455,26812,华夏基金
22,510050.XSHG,510050,华夏上证50ETF,2015-02-04,2.338,2015-02-05,3.112,CNY,3.3459,-0.031,-1.3086,-1.3097,26812,华夏基金
23,510050.XSHG,510050,华夏上证50ETF,2015-02-05,2.317,2015-02-06,3.087,CNY,3.3159,-0.021,-0.8982,-0.8967,26812,华夏基金
24,510050.XSHG,510050,华夏上证50ETF,2015-02-06,2.293,2015-02-07,3.059,CNY,3.2815,-0.024,-1.0358,-1.0375,26812,华夏基金
25,510050.XSHG,510050,华夏上证50ETF,2015-02-09,2.333,2015-02-10,3.106,CNY,3.3388,0.04,1.7444,1.7461,26812,华夏基金
26,510050.XSHG,510050,华夏上证50ETF,2015-02-10,2.369,2015-02-11,3.149,CNY,3.3903,0.036,1.5431,1.5424,26812,华夏基金
27,510050.XSHG,510050,华夏上证50ETF,2015-02-11,2.381,2015-02-12,3.163,CNY,3.4074,0.012,0.5065,0.5043,26812,华夏基金
28,510050.XSHG,510050,华夏上证50ETF,2015-02-12,2.383,2015-02-13,3.166,CNY,3.4103,0.002,0.084,0.0851,26812,华夏基金
29,510050.XSHG,510050,华夏上证50ETF,2015-02-13,2.393,2015-02-14,3.177,CNY,3.4246,0.01,0.4196,0.4193,26812,华夏基金
30,510050.XSHG,510050,华夏上证50ETF,2015-02-16,2.396,2015-02-17,3.181,CNY,3.4289,0.003,0.1254,0.1255,26812,华夏基金
31,510050.XSHG,510050,华夏上证50ETF,2015-02-17,2.41,2015-02-18,3.198,CNY,3.4489,0.014,0.5843,0.5832,26812,华夏基金
32,510050.XSHG,510050,华夏上证50ETF,2015-02-25,2.372,2015-02-26,3.153,CNY,3.3946,-0.038,-1.5768,-1.5745,26812,华夏基金
33,510050.XSHG,510050,华夏上证50ETF,2015-02-26,2.443,2015-02-27,3.237,CNY,3.4962,0.071,2.9933,2.9929,26812,华夏基金
34,510050.XSHG,510050,华夏上证50ETF,2015-02-27,2.441,2015-02-28,3.234,CNY,3.4933,-0.002,-0.0819,-0.083,26812,华夏基金
35,510050.XSHG,510050,华夏上证50ETF,2015-03-02,2.444,2015-03-03,3.238,CNY,3.4976,0.003,0.1229,0.123,26812,华夏基金
36,510050.XSHG,510050,华夏上证50ETF,2015-03-03,2.363,2015-03-04,3.142,CNY,3.3817,-0.081,-3.3142,-3.3138,26812,华夏基金
37,510050.XSHG,510050,华夏上证50ETF,2015-03-04,2.365,2015-03-05,3.144,CNY,3.3845,0.002,0.0846,0.0827,26812,华夏基金
38,510050.XSHG,510050,华夏上证50ETF,2015-03-05,2.335,2015-03-06,3.109,CNY,3.3416,-0.03,-1.2685,-1.2676,26812,华夏基金
39,510050.XSHG,510050,华夏上证50ETF,2015-03-06,2.339,2015-03-07,3.114,CNY,3.3473,0.004,0.1713,0.1705,26812,华夏基金
40,510050.XSHG,510050,华夏上证50ETF,2015-03-09,2.395,2015-03-10,3.18,CNY,3.4275,0.056,2.3942,2.3959,26812,华夏基金
41,510050.XSHG,510050,华夏上证50ETF,2015-03-10,2.362,2015-03-11,3.141,CNY,3.3803,-0.033,-1.3779,-1.3771,26812,华夏基金
42,510050.XSHG,510050,华夏上证50ETF,2015-03-11,2.375,2015-03-12,3.156,CNY,3.3989,0.013,0.5504,0.5502,26812,华夏基金
