,净值,分红
20150105,2.611,0.0
20150106,2.589,0.0
20150107,2.59,0.0
20150108,2.513,0.0
20150109,2.522,0.0
20150112,2.501,0.0
20150113,2.486,0.0
20150114,2.492,0.0
20150115,2.586,0.0
20150116,2.604,0.0
20150119,2.37,0.0
20150120,2.365,0.0
20150121,2.5,0.0
20150122,2.504,0.0
20150123,2.523,0.0
20150126,2.521,0.0
20150127,2.483,0.0
20150128,2.446,0.0
20150129,2.402,0.0
20150130,2.367,0.0
20150202,2.299,0.0
20150203,2.369,0.0
20150204,2.338,0.0
20150205,2.317,0.0
20150206,2.293,0.0
20150209,2.333,0.0
20150210,2.369,0.0
20150211,2.381,0.0
20150212,2.383,0.0
20150213,2.393,0.0
20150216,2.396,0.0
20150217,2.41,0.0
20150225,2.372,0.0
20150226,2.443,0.0
20150227,2.441,0.0
20150302,2.444,0.0
20150303,2.363,0.0
20150304,2.365,0.0
20150305,2.335,0.0
20150306,2.339,0.0
20150309,2.395,0.0
20150310,2.362,0.0
20150311,2.375,0.0
20150312,2.449,0.0
20150313,2.459,0.0
20150316,2.513,0.0
20150317,2.544,0.0
20150318,2.609,0.0
20150319,2.59,0.0
20150320,2.639,0.0
20150323,2.678,0.0
20150324,2.642,0.0
20150325,2.608,0.0
20150326,2.645,0.0
20150327,2.647,0.0
20150330,2.74,0.0
20150331,2.711,0.0
20150401,2.755,0.0
20150402,2.737,0.0
20150403,2.773,0.0
20150407,2.843,0.0
20150408,2.904,0.0
20150409,2.884,0.0
20150410,2.937,0.0
20150413,2.99,0.0
20150414,3.001,0.0
20150415,3.002,0.0
20150416,3.128,0.0
20150417,3.177,0.0
20150420,3.109,0.0
20150421,3.157,0.0
20150422,3.24,0.0
20150423,3.215,0.0
20150424,3.167,0.0
20150427,3.249,0.0
20150428,3.224,0.0
20150429,3.224,0.0
20150430,3.194,0.0
20150504,3.214,0.0
20150505,3.095,0.0
20150506,3.086,0.0
20150507,3.043,0.0
20150508,3.058,0.0
20150511,3.115,0.0
20150512,3.133,0.0
20150513,3.088,0.0
20150514,3.075,0.0
20150515,3.01,0.0
20150518,2.95,0.0
20150519,3.063,0.0
20150520,3.076,0.0
20150521,3.103,0.0
20150522,3.197,0.0
20150525,3.292,0.0
20150526,3.326,0.0
20150527,3.29,0.0
20150528,3.08,0.0
20150529,3.067,0.0
20150601,3.196,0.0
20150602,3.209,0.0
20150603,3.195,0.0
20150604,3.254,0.0
20150605,3.258,0.0
20150608,3.41,0.0
20150609,3.367,0.0
20150610,3.327,0.0
20150611,3.306,0.0
20150612,3.31,0.0
20150615,3.224,0.0
20150616,3.148,0.0
20150617,3.179,0.0
20150618,3.038,0.0
20150619,2.879,0.0
20150623,2.982,0.0
20150624,3.024,0.0
20150625,2.923,0.0
20150626,2.717,0.0
20150629,2.656,0.0
20150630,2.847,0.0
20150701,2.715,0.0
20150702,2.693,0.0
20150703,2.572,0.0
20150706,2.739,0.0
20150707,2.805,0.0
20150708,2.605,0.0
20150709,2.774,0.0
20150710,2.893,0.0
20150713,2.864,0.0
20150714,2.759,0.0
20150715,2.754,0.0
20150716,2.739,0.0
20150717,2.804,0.0
20150720,2.781,0.0
